gene,drug,interaction
189,359,1.0
153,959,1.0
259,581,1.0
132,961,1.0
409,962,1.0
305,964,1.0
654,370,1.0
164,965,1.0
259,966,1.0
12,967,1.0
651,814,1.0
64,68,1.0
627,765,1.0
594,969,1.0
132,970,1.0
259,971,1.0
56,972,1.0
147,974,1.0
594,320,1.0
84,826,1.0
598,975,1.0
594,870,1.0
642,976,1.0
306,78,1.0
229,977,1.0
62,978,1.0
627,873,1.0
687,800,1.0
132,979,1.0
532,980,1.0
688,981,1.0
241,983,1.0
51,984,1.0
499,985,1.0
164,986,1.0
241,294,1.0
690,987,1.0
691,914,1.0
123,475,1.0
404,988,1.0
673,765,1.0
664,833,1.0
692,873,1.0
2,394,1.0
132,989,1.0
166,990,1.0
627,607,1.0
594,915,1.0
693,991,1.0
694,992,1.0
85,576,1.0
241,943,1.0
456,993,1.0
241,994,1.0
50,361,1.0
455,995,1.0
63,922,1.0
132,996,1.0
696,937,1.0
63,815,1.0
74,781,1.0
697,431,1.0
358,607,1.0
62,998,1.0
635,999,1.0
85,1000,1.0
685,1001,1.0
594,1003,1.0
512,1005,1.0
9,655,1.0
699,33,1.0
133,1006,1.0
50,466,1.0
701,295,1.0
702,354,1.0
703,1008,1.0
197,1009,1.0
117,763,1.0
704,1010,1.0
668,1011,1.0
374,1011,1.0
706,572,1.0
707,281,1.0
708,572,1.0
710,763,1.0
314,1012,1.0
409,247,1.0
711,1013,1.0
72,1014,1.0
712,1015,1.0
61,1016,1.0
417,577,1.0
432,1017,1.0
265,1017,1.0
713,976,1.0
714,1018,1.0
186,86,1.0
661,1020,1.0
288,1021,1.0
288,1022,1.0
261,1023,1.0
452,1019,1.0
452,212,1.0
74,1024,1.0
716,1025,1.0
717,1026,1.0
74,1027,1.0
718,430,1.0
64,1028,1.0
199,1026,1.0
719,1029,1.0
189,1030,1.0
720,172,1.0
720,1031,1.0
721,1032,1.0
85,1033,1.0
171,1035,1.0
171,212,1.0
722,1036,1.0
24,306,1.0
723,1037,1.0
724,500,1.0
42,500,1.0
42,1019,1.0
725,201,1.0
390,1038,1.0
726,1039,1.0
727,1013,1.0
80,270,1.0
728,1040,1.0
273,91,1.0
729,500,1.0
603,212,1.0
730,538,1.0
85,1041,1.0
422,1042,1.0
422,1043,1.0
176,634,1.0
731,1021,1.0
732,201,1.0
732,1017,1.0
733,1045,1.0
288,90,1.0
736,1019,1.0
218,307,1.0
424,1046,1.0
740,1049,1.0
259,20,1.0
409,1050,1.0
741,218,1.0
209,1051,1.0
348,20,1.0
318,1053,1.0
743,1038,1.0
455,1054,1.0
329,201,1.0
489,13,1.0
34,1055,1.0
744,195,1.0
37,181,1.0
746,1056,1.0
596,306,1.0
726,1057,1.0
153,1058,1.0
747,172,1.0
748,212,1.0
749,1059,1.0
750,172,1.0
751,415,1.0
688,1060,1.0
752,545,1.0
4,1061,1.0
753,1062,1.0
113,1064,1.0
754,1065,1.0
755,1066,1.0
756,1067,1.0
133,706,1.0
60,764,1.0
278,1010,1.0
60,706,1.0
26,1068,1.0
270,1069,1.0
758,1070,1.0
759,1072,1.0
760,1072,1.0
761,1037,1.0
762,324,1.0
763,1073,1.0
719,306,1.0
764,1074,1.0
765,272,1.0
766,1075,1.0
37,1076,1.0
106,1077,1.0
767,1078,1.0
768,1079,1.0
339,1080,1.0
769,36,1.0
414,445,1.0
770,1081,1.0
771,405,1.0
626,1082,1.0
774,324,1.0
446,1083,1.0
775,324,1.0
202,1085,1.0
777,1086,1.0
314,1087,1.0
314,320,1.0
778,272,1.0
779,1088,1.0
197,599,1.0
780,1089,1.0
781,338,1.0
782,1090,1.0
782,1091,1.0
64,1092,1.0
61,1093,1.0
784,1094,1.0
785,1095,1.0
786,338,1.0
249,338,1.0
585,338,1.0
1,338,1.0
788,1096,1.0
789,1097,1.0
348,430,1.0
133,1006,1.0
0,1099,1.0
790,1096,1.0
791,790,1.0
792,1101,1.0
793,306,1.0
794,159,1.0
796,434,1.0
512,668,1.0
446,1102,1.0
282,1103,1.0
797,1104,1.0
798,1105,1.0
274,1106,1.0
799,1107,1.0
800,1107,1.0
802,1108,1.0
219,1014,1.0
803,1014,1.0
804,1020,1.0
391,1109,1.0
376,1110,1.0
376,1111,1.0
668,1112,1.0
805,205,1.0
805,1086,1.0
805,1096,1.0
806,343,1.0
807,1113,1.0
808,1114,1.0
809,615,1.0
199,1074,1.0
812,272,1.0
253,281,1.0
20,760,1.0
174,1116,1.0
439,1116,1.0
1,272,1.0
221,272,1.0
814,272,1.0
815,272,1.0
697,291,1.0
816,1086,1.0
817,1086,1.0
819,1117,1.0
306,78,1.0
189,1118,1.0
820,1119,1.0
821,1120,1.0
822,1121,1.0
74,790,1.0
823,1074,1.0
817,205,1.0
824,191,1.0
42,1122,1.0
528,203,1.0
269,485,1.0
58,451,1.0
826,1124,1.0
827,1125,1.0
700,1126,1.0
828,235,1.0
412,526,1.0
457,1127,1.0
242,247,1.0
567,547,1.0
829,547,1.0
830,247,1.0
330,247,1.0
831,1128,1.0
150,286,1.0
832,286,1.0
833,1129,1.0
834,99,1.0
378,1131,1.0
835,1132,1.0
836,1132,1.0
438,1133,1.0
242,514,1.0
172,514,1.0
91,514,1.0
218,514,1.0
155,709,1.0
109,397,1.0
837,530,1.0
558,1135,1.0
838,1136,1.0
839,1137,1.0
4,1138,1.0
282,1139,1.0
348,1140,1.0
840,1141,1.0
841,1142,1.0
528,203,1.0
842,1144,1.0
340,469,1.0
285,325,1.0
